# fault state: note that stresses are only those due to slip and do not include background stress
#    pos_1/W    pos_2/W       area        s_c    m_d*s_n           u_s           u_n           u_d           s_s           s_n           s_d pach#  grp#
 1.370e+00 -1.668e-01  2.020e+00  9.489e+02  1.579e+01  4.668346e-01  0.000000e+00  8.648824e-02 -9.170433e+02  5.264565e+01 -1.714078e+02    88     0
 1.350e+00 -2.399e-01  1.958e+00  9.192e+02  1.575e+01  4.211500e-01  0.000000e+00  8.283041e-02 -8.874033e+02  5.249965e+01 -1.768577e+02    89     0
 1.327e+00 -3.125e-01  1.894e+00  8.880e+02  1.563e+01  3.785554e-01  0.000000e+00  7.873286e-02 -8.565289e+02  5.209701e+01 -1.811437e+02    90     0
 1.304e+00 -3.846e-01  1.828e+00  8.557e+02  1.549e+01  3.391639e-01  0.000000e+00  7.431572e-02 -8.245600e+02  5.164889e+01 -1.842602e+02    91     0
 1.279e+00 -4.561e-01  1.759e+00  8.223e+02  1.529e+01  3.029052e-01  0.000000e+00  6.967819e-02 -7.916389e+02  5.097294e+01 -1.862120e+02    92     0
 1.253e+00 -5.268e-01  1.688e+00  7.881e+02  1.510e+01  2.696762e-01  0.000000e+00  6.490556e-02 -7.579105e+02  5.033830e+01 -1.870143e+02    93     0
 1.225e+00 -5.968e-01  1.615e+00  7.531e+02  1.481e+01  2.393125e-01  0.000000e+00  6.007217e-02 -7.235203e+02  4.935722e+01 -1.866919e+02    94     0
 1.197e+00 -6.659e-01  1.540e+00  7.175e+02  1.451e+01  2.115776e-01  0.000000e+00  5.521442e-02 -6.886146e+02  4.835308e+01 -1.852794e+02    95     0
 1.167e+00 -7.342e-01  1.465e+00  6.814e+02  1.419e+01  1.861593e-01  0.000000e+00  5.033735e-02 -6.533396e+02  4.729984e+01 -1.828200e+02    96     0
 1.136e+00 -8.014e-01  1.388e+00  6.452e+02  1.387e+01  1.625117e-01  0.000000e+00  4.536279e-02 -6.178405e+02  4.624215e+01 -1.793655e+02    97     0
 1.104e+00 -8.676e-01  1.311e+00  6.088e+02  1.353e+01  1.392861e-01  0.000000e+00  3.997624e-02 -5.822605e+02  4.509006e+01 -1.749753e+02    98     0
 1.071e+00 -9.327e-01  1.233e+00  5.725e+02  1.320e+01  1.107843e-01  0.000000e+00  3.261605e-02 -5.467412e+02  4.400282e+01 -1.697161e+02    99     0
 1.454e+00  8.101e-01  2.464e+00  1.028e+03  2.279e+01  5.824200e-01  0.000000e+00  1.082101e-02 -9.798245e+02  7.596793e+01 -1.237306e+01   100     0
 1.452e+00  7.372e-01  2.457e+00  1.025e+03  2.290e+01  7.530332e-01  0.000000e+00  2.739896e-02 -9.767127e+02  7.632085e+01 -2.465530e+01   101     0
 1.448e+00  6.639e-01  2.445e+00  1.019e+03  2.263e+01  8.236123e-01  0.000000e+00  4.204469e-02 -9.715435e+02  7.543907e+01 -3.675698e+01   102     0
 1.443e+00  5.902e-01  2.428e+00  1.011e+03  2.220e+01  8.453339e-01  0.000000e+00  5.371025e-02 -9.643423e+02  7.398919e+01 -4.858999e+01   103     0
 1.437e+00  5.162e-01  2.407e+00  1.001e+03  2.172e+01  8.381734e-01  0.000000e+00  6.276672e-02 -9.551443e+02  7.238666e+01 -6.006908e+01   104     0
 1.429e+00  4.419e-01  2.380e+00  9.888e+02  2.133e+01  8.126037e-01  0.000000e+00  6.970884e-02 -9.439947e+02  7.108473e+01 -7.111242e+01   105     0
 1.419e+00  3.674e-01  2.350e+00  9.749e+02  2.097e+01  7.750488e-01  0.000000e+00  7.488606e-02 -9.309477e+02  6.988914e+01 -8.164253e+01   106     0
 1.409e+00  2.928e-01  2.314e+00  9.594e+02  2.071e+01  7.298692e-01  0.000000e+00  7.851123e-02 -9.160663e+02  6.902259e+01 -9.158715e+01   107     0
 1.397e+00  2.182e-01  2.275e+00  9.422e+02  2.046e+01  6.802370e-01  0.000000e+00  8.073364e-02 -8.994222e+02  6.820171e+01 -1.008796e+02   108     0
 1.383e+00  1.436e-01  2.231e+00  9.232e+02  2.017e+01  6.285058e-01  0.000000e+00  8.167730e-02 -8.810946e+02  6.723421e+01 -1.094597e+02   109     0
 1.369e+00  6.905e-02  2.184e+00  9.028e+02  1.997e+01  5.764681e-01  0.000000e+00  8.146935e-02 -8.611705e+02  6.655439e+01 -1.172742e+02   110     0
 1.352e+00 -5.262e-03  2.133e+00  8.807e+02  1.969e+01  5.254718e-01  0.000000e+00  8.025888e-02 -8.397434e+02  6.564959e+01 -1.242770e+02   111     0
 1.335e+00 -7.932e-02  2.078e+00  8.572e+02  1.941e+01  4.764267e-01  0.000000e+00  7.819143e-02 -8.169126e+02  6.470211e+01 -1.304300e+02   112     0
 1.316e+00 -1.531e-01  2.020e+00  8.324e+02  1.912e+01  4.299977e-01  0.000000e+00  7.542659e-02 -7.927833e+02  6.373907e+01 -1.357027e+02   113     0
 1.296e+00 -2.264e-01  1.958e+00  8.062e+02  1.874e+01  3.865202e-01  0.000000e+00  7.211162e-02 -7.674651e+02  6.248244e+01 -1.400732e+02   114     0
 1.275e+00 -2.992e-01  1.894e+00  7.790e+02  1.838e+01  3.461894e-01  0.000000e+00  6.838262e-02 -7.410718e+02  6.127361e+01 -1.435274e+02   115     0
 1.252e+00 -3.716e-01  1.828e+00  7.506e+02  1.795e+01  3.090724e-01  0.000000e+00  6.437430e-02 -7.137209e+02  5.983415e+01 -1.460599e+02   116     0
 1.228e+00 -4.433e-01  1.759e+00  7.215e+02  1.754e+01  2.750860e-01  0.000000e+00  6.018450e-02 -6.855321e+02  5.845904e+01 -1.476732e+02   117     0
 1.203e+00 -5.143e-01  1.688e+00  6.914e+02  1.705e+01  2.440855e-01  0.000000e+00  5.590357e-02 -6.566276e+02  5.683579e+01 -1.483779e+02   118     0
 1.177e+00 -5.845e-01  1.615e+00  6.608e+02  1.655e+01  2.158963e-01  0.000000e+00  5.159773e-02 -6.271306e+02  5.517824e+01 -1.481925e+02   119     0
 1.149e+00 -6.539e-01  1.540e+00  6.296e+02  1.605e+01  1.902638e-01  0.000000e+00  4.730710e-02 -5.971657e+02  5.350808e+01 -1.471428e+02   120     0
 1.121e+00 -7.225e-01  1.465e+00  5.981e+02  1.554e+01  1.668574e-01  0.000000e+00  4.303909e-02 -5.668572e+02  5.178486e+01 -1.452619e+02   121     0
 1.091e+00 -7.900e-01  1.388e+00  5.663e+02  1.501e+01  1.451341e-01  0.000000e+00  3.873523e-02 -5.363296e+02  5.002782e+01 -1.425895e+02   122     0
 1.060e+00 -8.566e-01  1.311e+00  5.345e+02  1.448e+01  1.238177e-01  0.000000e+00  3.413531e-02 -5.057058e+02  4.827666e+01 -1.391716e+02   123     0
 1.028e+00 -9.220e-01  1.233e+00  5.026e+02  1.394e+01  9.779804e-02  0.000000e+00  2.789746e-02 -4.751077e+02  4.647084e+01 -1.350600e+02   124     0
